 id|name|oper|city|st|zip_fixed|lat|lng|fy09|fy08|fy07|fy06|fy05|fy04|fy03|fy02|fy01|fy00|fy99|fy98|fy97|fy96|fy95|fy94|fy93|fy92|fy91|fy90|fy89|fy88|fy87|fy86|fy85|fy84|fy83|fy82|fy81 
13|LAREDO CONTRACT DET. FAC.|Corrections Corporation of America|LAREDO|TX|78042|27.51|-99.51|299|374|448|333|385|412|499|473|421|405|331|307|217|187|150|109|179|225|249|111|126|271|119|9|4|1|0|0|0
16|STEWART DETENTION CENTER|Corrections Corporation of America|LUMPKIN|GA|31815|32.0509895|-84.7990901|1800|1645|1227|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|ELOY FEDERAL CONTRACT FAC|Corrections Corporation of America|ELOY|AZ|85231|32.8079816|-111.4514369|1473|1458|1482|1017|949|929|912|868|917|723|742|762|566|496|395|9|3|2|0|0|0|0|0|0|0|0|0|0|0
107|CCA CENT.AZ.DET.CTR.|Corrections Corporation of America|FLORENCE|AZ|85232|32.772674|-111.1652687|68|62|54|61|74|64|101|49|0|7|12|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15|DENVER CONTRACT DET. FAC.|GEO Group, Inc|AURORA|CO|80010|39.7393313|-104.8629746|376|395|394|368|295|337|341|325|318|331|308|282|288|249|211|217|247|142|146|17|2|0|0|0|0|0|0|0|0
18|NORTHWEST DET. CENTER|GEO Group, Inc|TACOMA|WA|98421|47.2592223|-122.4003064|981|1014|904|651|491|158|4|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
41|INS/WACKENHUT CON/FAC, NY|GEO Group, Inc|JAMAICA|NY|11413|40.6679426|-73.7536695|0|0|0|0|109|161|154|167|190|189|183|180|57|1|43|97|101|102|42|0|0|0|0|0|0|0|0|0|0
55|KARNES CTY CORR CTR|GEO Group, Inc|KARNES CITY|TX|78118|28.8849772|-97.9008355|316|139|106|59|62|103|101|32|110|148|97|49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
74|JEFFERSON COUNTY JAIL|GEO Group, Inc|BEAUMONT|TX|77701|30.0665117|-94.0951038|3|11|78|108|154|340|294|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
919|REEVES COUNTY DET. CENTER|GEO Group, Inc|PECOS|TX|79772|31.4229124|-103.4932293|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
482|BROOKFIELD POLICE DEPT.|City or Municipality|BROOKFIELD|IL|60513|41.8239203|-87.8517253|0|0|0|0|0|0|0|2|1|1|2|1|1|2|3|3|1|2|4|3|3|0|0|0|0|0|0|0|0
621|ALEXANDRIA CITY JAIL|City or Municipality|ALEXANDRIA|VA|22314|38.7999723|-77.0506896|0|2|0|0|0|0|0|1|1|0|0|0|4|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0
638|NORTH CHICAGO P.D.|City or Municipality|NORTH CHICAGO|IL|60064|42.3199976|-87.8697056|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|1|1|2|1|0|1|0|0|0|0|0
632|MONTEREY PARK POLICE DEPT|City or Municipality|MONTEREY PARK|CA|98188|34.0625106|-118.1228476|9|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
691|BELLEVILLE PD, BELVIL, MI|City or Municipality|BELLEVILLE|MI|48111|42.2047619|-83.4852133|0|0|0|0|0|0|1|0|0|3|0|2|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
146|VIRGINIA BEACH|City or Municipality|VIRGINIA BEACH|VA|23456|36.7358202|-76.0275859|12|53|3|0|0|0|0|17|47|38|56|91|47|0|7|2|0|0|0|0|0|0|0|0|0|0|0|0|0
277|MAPLE HEIGHTS CITY JAIL|City or Municipality|MAPLE HEIGHTS|OH|44317|41.4153313|-81.565956|16|17|15|2|5|11|18|23|24|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
332|HOSANNA HOMES FOR BOYS|City or Municipality|CASTRO VALLEY|CA|94552|37.6940973|-122.0863522|0|0|0|12|10|12|11|11|15|9|6|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
334|STONE PARK POLICE DEPT.|City or Municipality|STONE PARK|IL|60165|41.9055862|-87.8836732|0|2|4|4|4|6|6|8|8|7|9|8|8|7|3|2|1|2|0|0|0|0|0|0|0|0|0|0|0
400|PORTSMOUTH CITY JAIL|City or Municipality|PORTSMOUTH|VA|23704|36.8274757|-76.3116235|0|0|0|0|0|0|0|32|2|2|4|15|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
541|DEARBORN POLICE DEPT.|City or Municipality|DEARBORN|MI|48126|42.3382755|-83.1756188|6|6|2|0|0|0|0|0|0|0|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
521|PASADENA CITY JAIL|City or Municipality|PASADENA|CA|61021|34.1477849|-118.1445155|18|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
650|TAYLOR PD,TAYLOR, MI|City or Municipality|TAYLOR|MI|48180|42.240872|-83.2696509|0|0|0|0|2|1|0|0|0|0|0|2|4|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
667|POMONA CITY JAIL|City or Municipality|POMONA|CA|91766|34.0397162|-117.7549295|6|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
852|BROWNSTOWN POLICE DEPT.|City or Municipality|BROWNSTOWN|MI|48183|42.1352293|-83.2291862|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
935|KODIAK CITY JAIL|City or Municipality|KODIAK|AK|99615|57.79|-152.4072222|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
436|FORT DIX FED.CORR.INST.|Regional and Federal Facilities|FORT DIX|NJ|08640|40.0027552|-74.6224755|0|0|0|0|6|13|10|6|3|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
437|SAFFORD FED.CORR.INST.|Regional and Federal Facilities|SAFFORD|AZ|85546|32.8339546|-109.70758|0|0|0|0|2|8|9|3|2|2|0|0|0|0|0|0|2|2|2|4|4|0|0|0|0|0|0|0|0
345|ESTILL FED.CORR.INST.|Regional and Federal Facilities|ESTILL|SC|29918|32.754891|-81.2420467|0|0|0|0|2|3|3|5|6|7|6|5|8|11|13|10|2|0|0|0|0|0|0|0|0|0|0|0|0
60|LEWISBURG U.S. PEN.|Regional and Federal Facilities|LEWISBURG|PA|17837|40.9645293|-76.8844101|0|0|0|0|0|4|8|11|18|24|37|43|44|41|42|48|71|96|101|111|139|177|124|55|32|12|9|8|4
34|CCA, FLORENCE CORRECTIONAL CENTER|Corrections Corporation of America|FLORENCE|AZ|85232|32.772674|-111.1652687|201|220|181|298|434|353|89|166|298|64|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0
103|WYATT DETENTION CENTER|Central Falls Detention Facility Corporation|CENTRAL FALLS|RI|02863|41.8906553|-71.3922785|89|198|159|59|61|39|0|0|0|12|28|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
151|GREENFIELD HOUSE OF CORR.|City or Municipality|GREENFIELD|MA|01301|42.5875857|-72.5995339|71|76|49|7|19|43|30|26|27|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
313|GENESEE COUNTY JAIL|County|BATAVIA|NY|04021|42.9981156|-78.1875167|0|4|2|3|2|0|4|2|1|3|0|3|3|14|18|20|16|8|0|0|0|0|0|0|0|0|0|0|0
894|NORTHWEST STATE CORRECTIONAL CTR.|State|ST ALBANS|VT|05488|44.816447|-73.1362711|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
28|HUDSON COUNTY JAIL|County|KEARNEY|NJ|07302|40.7218318|-74.0447003|318|380|267|230|212|245|220|233|242|174|100|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
45|PLYMOUTH COUNTY H.O.C.|County|PLYMOUTH|MA|02360|41.9584367|-70.6672576|310|227|198|193|176|181|174|81|50|43|41|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
52|SUFFOLK HOC SBAY|County|BOSTON|MA|02118|42.3377967|-71.0705763|252|244|252|263|215|175|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
68|PASSAIC COUNTY JAIL|County|PATERSON|NJ|07505|40.9163004|-74.172438|0|0|1|61|232|289|82|160|70|52|22|9|34|15|14|10|8|17|11|7|0|0|0|0|0|0|0|0|0
166|FAIRTON FCI|Regional and Federal Facilities|FAIRTON|NJ|08320|39.3799|-75.22252|0|0|0|0|7|14|16|15|19|22|29|39|43|33|26|22|23|17|3|0|0|0|0|0|0|0|0|0|0
75|MONMOUTH COUNTY JAIL|County|FREEHOLD|NJ|07728|40.260111|-74.2737573|147|139|140|129|76|123|143|82|0|0|0|0|0|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
76|BERGEN COUNTY JAIL|County|HACKENSACK|NJ|07601|40.8859325|-74.0434736|120|137|147|129|136|139|99|55|14|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
113|ACI, CRANSTON RI|State|CRANSTON|RI|02920|41.7612384|-71.4655565|0|0|0|0|0|26|88|124|145|95|8|37|34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
133|YORK CORR INST|State|NIANTIC|CT|06357|41.3253756|-72.1931338|4|14|33|50|49|65|58|61|51|31|22|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
105|HILLSBOROUGH COUNTY JAIL|County|MANCHESTER|NH|03103|42.9561485|-71.4418101|0|0|0|0|0|0|0|0|0|72|195|158|95|48|17|8|4|12|11|0|0|0|0|0|0|0|0|0|0
153|BOSTON SPC|Federal|BOSTON|MA|02109|42.3618604|-71.0549768|2|0|1|0|0|0|0|0|0|0|0|10|50|53|49|46|49|47|39|8|0|0|0|0|0|0|0|0|0
190|ESSEX COUNTY JAIL|County|NEWARK|NJ|07105|40.7231264|-74.1416127|225|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0
193|SUSSEX COUNTY JAIL|County|SUSSEX|NJ|07860|41.0461965|-74.8039205|22|27|33|24|11|11|22|32|26|26|21|5|0|3|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0
233|ROCKINGHAM COUNTY JAIL|County|BRENTWOOD|NH|03833|42.9996568|-70.9784562|0|1|5|5|3|4|9|17|26|29|35|32|13|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
242|MERCER COUNTY JAIL|County|TRENTON|NJ|08650|40.1954673|-74.6502902|0|3|3|3|3|3|0|8|23|0|0|96|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
256|NORFLK CNTY DEDHAM|County|DEDHAM|MA|02026|42.2417653|-71.166164|52|37|22|0|0|21|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1
283|OSBORN CORR INST|State|SOMERS|CT|06071|41.9878742|-72.4494848|0|0|6|28|22|41|22|3|8|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
